2020-09-07 16:06:52 CST FATAL:  the database system is starting up
2020-09-07 16:06:52 CST LOG:  database system was shut down at 2020-09-07 16:06:05 CST
2020-09-07 16:06:52 CST LOG:  MultiXact member wraparound protections are now enabled
2020-09-07 16:06:52 CST LOG:  database system is ready to accept connections
2020-09-07 16:06:52 CST LOG:  autovacuum launcher started
2020-09-07 16:31:39 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-07 16:31:39 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-07 16:31:39 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-07 16:31:39 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-07 16:31:39 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
