2020-09-09 16:50:47 CST LOG:  database system was shut down at 2020-09-09 16:50:02 CST
2020-09-09 16:50:47 CST FATAL:  the database system is starting up
2020-09-09 16:50:48 CST FATAL:  the database system is starting up
2020-09-09 16:50:49 CST FATAL:  the database system is starting up
2020-09-09 16:50:49 CST LOG:  MultiXact member wraparound protections are now enabled
2020-09-09 16:50:49 CST LOG:  database system is ready to accept connections
2020-09-09 16:50:49 CST LOG:  autovacuum launcher started
2020-09-09 17:29:56 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-09 17:29:56 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-09 17:29:56 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-09 17:29:56 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-09 17:29:56 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-09-09 23:01:27 CST LOG:  received fast shutdown request
2020-09-09 23:01:27 CST LOG:  aborting any active transactions
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST FATAL:  terminating connection due to administrator command
2020-09-09 23:01:27 CST LOG:  autovacuum launcher shutting down
2020-09-09 23:01:27 CST ERROR:  canceling statement due to user request
2020-09-09 23:01:27 CST LOG:  autovacuum launcher shutting down
2020-09-09 23:01:27 CST LOG:  shutting down
2020-09-09 23:01:27 CST LOG:  database system is shut down
