2020-10-21 14:51:23 CST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2020-10-21 14:51:28 CST LOG:  received fast shutdown request
2020-10-21 14:51:28 CST LOG:  aborting any active transactions
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST FATAL:  terminating connection due to administrator command
2020-10-21 14:51:28 CST LOG:  autovacuum launcher shutting down
2020-10-21 14:51:28 CST ERROR:  canceling statement due to user request
2020-10-21 14:51:28 CST LOG:  autovacuum launcher shutting down
2020-10-21 14:51:28 CST LOG:  shutting down
2020-10-21 14:51:28 CST LOG:  database system is shut down
